Year,Player,Pos,College,qb_career_plays,qb_seasons,qb_final_qbr,qb_best_qbr,qb_epa_per_play,qb_final_epa_per_play,qb_sack_epa_per_play,qb_run_epa_per_play
2005,Aaron Rodgers,QB,California,422.0,1,75.1,75.1,0.09953,0.09953,-0.03365,0.01517
2005,Alex Smith,QB,Utah,480.0,1,84.5,84.5,0.15292,0.15292,-0.01521,0.03333
2005,Andrew Walter,QB,Arizona State,528.0,1,64.9,64.9,0.05777,0.05777,-0.03523,-0.00587
2005,Bryan Randall,QB,nan,496.0,1,61.2,61.2,0.04415,0.04415,-0.0502,0.04536
2005,Charlie Frye,QB,Akron,488.0,1,43.8,43.8,0.04529,0.04529,-0.04365,-0.01475
2005,Dan Orlovsky,QB,Connecticut,525.0,1,56.6,56.6,0.07676,0.07676,-0.01524,0.00152
2005,Darian Durant,QB,nan,415.0,1,65.5,65.5,0.06217,0.06217,-0.02892,0.00217
2005,David Greene,QB,Georgia,367.0,1,68.6,68.6,0.08692,0.08692,-0.02643,-0.00409
2005,Derek Anderson,QB,Oregon State,637.0,1,58.5,58.5,0.02732,0.02732,-0.03564,-0.00471
2005,Gino Guidugli,QB,nan,419.0,1,44.5,44.5,0.05728,0.05728,-0.01217,-0.01217
2005,James Kilian,QB,Tulsa,537.0,1,36.6,36.6,0.01061,0.01061,-0.04767,0.00875
2005,Jason Campbell,QB,Auburn,373.0,1,83.3,83.3,0.12976,0.12976,-0.01796,-0.01046
2005,Jason White,QB,Oklahoma,454.0,1,84.1,84.1,0.1348,0.1348,-0.01344,-0.01366
2005,Kyle Orton,QB,Purdue,515.0,1,67.6,67.6,0.09146,0.09146,-0.02951,0.00058
2005,Stefan LeFors,QB,Louisville,351.0,1,86.3,86.3,0.19031,0.19031,-0.01054,0.00798
2005,Timmy Chang,QB,Hawai'i,689.0,1,57.8,57.8,0.08708,0.08708,-0.01306,0.00827
2005,Walter Washington,QB,Temple,583.0,1,44.6,44.6,0.0319,0.0319,-0.02899,0.03945
2006,Brodie Croyle,QB,Alabama,441.0,1,56.4,56.4,0.03039,0.03039,-0.0517,0.00658
2006,Bruce Gradkowski,QB,Toledo,959.0,2,61.9,68.7,0.12617,0.10998,-0.01867,0.01887
2006,Charlie Whitehurst,QB,Clemson,919.0,2,74.7,74.7,0.03014,0.09107,-0.03689,-0.00011
2006,D.J. Shockley,QB,Georgia,435.0,1,75.8,75.8,0.10276,0.10276,-0.02069,0.02
2006,Jay Cutler,QB,Vanderbilt,997.0,2,69.2,69.2,0.08425,0.08399,-0.0325,0.01605
2006,Kellen Clemens,QB,Oregon,929.0,2,74.1,74.1,0.07309,0.125,-0.03122,0.01173
2006,Matt Leinart,QB,USC,1037.0,2,80.5,80.5,0.10617,0.11626,-0.02257,0.0081
2006,Omar Jacobs,QB,Bowling Green,983.0,2,71.0,74.4,0.14639,0.12786,-0.01302,0.01221
2006,Vince Young,QB,Texas,990.0,2,86.1,86.1,0.12152,0.14098,-0.01616,0.07657
2007,Brady Quinn,QB,Notre Dame,1601.0,3,73.9,80.5,0.09188,0.09176,-0.02979,0.01268
2007,Chris Leak,QB,Florida,1529.0,3,65.1,65.5,0.05788,0.05688,-0.03165,-0.00137
2007,Drew Stanton,QB,Michigan State,1277.0,3,54.4,77.4,0.087,0.05316,-0.02388,0.03923
2007,Isaiah Stanback,QB,Washington,703.0,2,63.2,63.2,0.04808,0.05254,-0.02916,0.00256
2007,JaMarcus Russell,QB,LSU,849.0,2,82.1,82.1,0.09329,0.1278,-0.0351,0.00188
2007,Jared Zabransky,QB,Boise State,1422.0,3,68.1,68.1,0.07982,0.0979,-0.02855,0.01681
2007,Jeff Rowe,QB,Nevada,1463.0,3,60.1,60.1,0.06459,0.08196,-0.03623,0.01237
2007,John Beck,QB,BYU,1640.0,3,83.4,83.4,0.07537,0.14062,-0.02518,-0.00024
2007,Jordan Palmer,QB,UTEP,1517.0,3,56.4,56.4,0.06994,0.08615,-0.02993,-0.00541
2007,Kevin Kolb,QB,Houston,1690.0,3,65.2,65.2,0.06059,0.10773,-0.03396,0.0068
2007,Matt Moore,QB,nan,945.0,2,67.3,67.3,0.03831,0.0685,-0.04148,-0.00561
2007,Trent Edwards,QB,Stanford,758.0,2,60.2,60.2,0.02533,0.05216,-0.0467,0.00844
2007,Troy Smith,QB,Ohio State,818.0,2,82.0,82.0,0.12323,0.13043,-0.02763,0.01944
2007,Tyler Palko,QB,Pittsburgh,1476.0,3,72.2,72.2,0.046,0.09534,-0.0418,-0.00129
2007,Zac Taylor,QB,Nebraska,1061.0,2,63.8,63.8,0.03798,0.0712,-0.03911,0.00302
2008,Alex Brink,QB,Washington State,1839.0,4,70.5,70.5,0.05079,0.07258,-0.02926,-0.0062
2008,Andre' Woodson,QB,Kentucky,1517.0,3,67.6,69.3,0.0528,0.08065,-0.04674,-0.00712
2008,Brian Brohm,QB,Louisville,1351.0,3,78.5,81.2,0.12509,0.11823,-0.02628,0.00585
2008,Chad Henne,QB,Michigan,1693.0,4,49.1,63.3,0.04678,0.03818,-0.03822,-0.00337
2008,Colt Brennan,QB,Hawai'i,1988.0,3,73.7,85.8,0.13999,0.1217,-0.02259,0.00765
2008,Dennis Dixon,QB,Oregon,825.0,2,85.8,85.8,0.09733,0.14536,-0.01539,0.03855
2008,Erik Ainge,QB,Tennessee,982.0,2,75.1,79.3,0.1166,0.10155,-0.01344,-0.00418
2008,John David Booty,QB,USC,924.0,2,65.4,77.7,0.07716,0.05214,-0.01861,-0.01093
2008,Kevin O'Connell,QB,San Diego State,586.0,1,67.4,67.4,0.06519,0.06519,-0.02577,0.04113
2008,Matt Flynn,QB,LSU,500.0,1,66.9,66.9,0.0706,0.0706,-0.0334,0.036
2008,Matt Ryan,QB,Boston College,1567.0,3,63.5,70.8,0.06209,0.05977,-0.02336,0.00306
2009,Brian Hoyer,QB,nan,901.0,2,53.3,53.3,0.02497,0.01618,-0.04162,0.00133
2009,Curtis Painter,QB,Purdue,2022.0,4,50.6,57.0,0.04431,0.02661,-0.01988,0.0045
2009,Graham Harrell,QB,Texas Tech,2211.0,3,77.3,77.3,0.11578,0.13072,-0.01841,0.0009
2009,Hunter Cantwell,QB,Louisville,466.0,1,45.6,45.6,0.02318,0.02318,-0.02403,0.003
2009,John Parker Wilson,QB,Alabama,1541.0,3,61.5,61.5,0.03472,0.03802,-0.03504,0.01077
2009,Josh Freeman,QB,Kansas State,1492.0,3,64.6,64.6,0.03606,0.07566,-0.02554,0.01515
2009,Mark Sanchez,QB,USC,459.0,1,84.4,84.4,0.1207,0.1207,-0.0244,0.00349
2009,Matthew Stafford,QB,Georgia,1261.0,3,78.6,78.6,0.06844,0.1004,-0.02871,0.00103
2009,Mike Teel,QB,Rutgers,1202.0,3,65.4,65.4,0.07005,0.0837,-0.02022,0.00449
2009,Nate Davis,QB,Ball State,1395.0,3,73.6,73.6,0.10538,0.16479,-0.02559,0.0195
2009,Pat White,QB,West Virginia,1557.0,4,70.8,90.5,0.14978,0.08932,-0.01676,0.09133
2009,Rhett Bomar,QB,Sam Houston State,453.0,1,52.3,52.3,0.01038,0.01038,-0.03068,0.0011
2009,Stephen McGee,QB,Texas A&M,1106.0,2,55.2,65.1,0.05859,0.04148,-0.01826,0.03237
2009,Tom Brandstater,QB,Fresno State,1221.0,3,53.6,73.8,0.06945,0.06114,-0.02162,0.0077
2010,Colt McCoy,QB,Texas,2281.0,4,73.9,87.9,0.10579,0.08884,-0.02433,0.01543
2010,Dan LeFevour,QB,Central Michigan,2599.0,4,72.4,72.4,0.11735,0.12614,-0.01978,0.03836
2010,Jimmy Clausen,QB,Notre Dame,1415.0,3,67.7,67.7,0.04042,0.0929,-0.03611,-0.01385
2010,Joe Webb,QB,UAB,1134.0,2,63.1,63.1,0.07213,0.08864,-0.02399,0.0567
2010,Jonathan Crompton,QB,Tennessee,471.0,1,66.9,66.9,0.0482,0.0482,-0.02718,-0.00297
2010,Levi Brown,QB,Troy,1003.0,2,67.7,67.7,0.09521,0.1155,-0.01964,-0.00189
2010,Michael Kafka,QB,Northwestern,700.0,1,63.8,63.8,0.07829,0.07829,-0.02857,0.00971
