test_year,train_years,shrink_train_years,validation_years,feature_set,apex_plus_factor,n_all,n_drafted,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,apex_raw_spearman_all,apex_raw_spearman_drafted,apex_raw_hit_auc_drafted,apex_raw_precision_at_32,apex_raw_precision_at_64,apex_raw_ndcg_at_32,apex_raw_ndcg_at_64,apex_plus_spearman_all,apex_plus_spearman_drafted,apex_plus_hit_auc_drafted,apex_plus_precision_at_32,apex_plus_precision_at_64,apex_plus_ndcg_at_32,apex_plus_ndcg_at_64,delta_raw_vs_pick_spearman_drafted,delta_market_vs_pick_spearman_drafted,delta_plus_vs_pick_spearman_drafted,delta_plus_vs_raw_spearman_drafted,delta_plus_vs_market_spearman_drafted
2011,<= 2010,<= 2008,2009-2010,profile,3.5,365,236,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.8084,0.5961,0.8269,0.5938,0.375,0.9356,0.9109,0.7977,0.5653,0.8092,0.5625,0.3594,0.9131,0.8992,-0.0177,-0.0094,-0.0484,-0.0307,-0.039
2012,<= 2011,<= 2009,2010-2011,profile,3.5,365,233,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8001,0.5909,0.7837,0.4688,0.3594,0.9006,0.8949,0.794,0.5636,0.7569,0.4375,0.375,0.8941,0.9036,0.0076,0.0071,-0.0196,-0.0272,-0.0267
2013,<= 2012,<= 2010,2011-2012,profile,3.5,370,241,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.799,0.5877,0.791,0.4062,0.375,0.8844,0.9065,0.79,0.5623,0.7727,0.375,0.375,0.8631,0.8994,0.0113,0.0085,-0.0142,-0.0254,-0.0227
2014,<= 2013,<= 2011,2012-2013,profile,3.5,365,243,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8037,0.6137,0.8182,0.5,0.375,0.9135,0.9113,0.8096,0.6315,0.8266,0.5,0.375,0.91,0.9142,0.0387,0.0231,0.0564,0.0178,0.0334
2015,<= 2014,<= 2012,2013-2014,profile,3.5,732,245,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7358,0.6071,0.8212,0.7812,0.6562,0.9656,0.951,0.7362,0.6235,0.8452,0.8125,0.6562,0.9547,0.9495,0.0292,0.0073,0.0457,0.0164,0.0383
2016,<= 2015,<= 2013,2014-2015,profile,3.5,454,246,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8302,0.5894,0.7924,0.5312,0.4219,0.9221,0.9135,0.8245,0.5655,0.7674,0.4375,0.375,0.909,0.8963,0.0161,0.0077,-0.0078,-0.0239,-0.0155
2017,<= 2016,<= 2014,2015-2016,profile,3.5,582,237,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7893,0.5985,0.7824,0.5938,0.5156,0.9376,0.9423,0.7843,0.5843,0.7804,0.5312,0.5156,0.9143,0.9316,0.0223,0.0124,0.0081,-0.0142,-0.0043
2018,<= 2017,<= 2015,2016-2017,profile,3.5,589,240,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8263,0.6568,0.8247,0.75,0.5312,0.9624,0.9495,0.8257,0.6452,0.8098,0.7188,0.5156,0.9487,0.9443,0.0271,0.0224,0.0155,-0.0116,-0.007
2019,<= 2018,<= 2016,2017-2018,profile,3.5,640,234,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7746,0.6273,0.8429,0.7812,0.6094,0.9626,0.9549,0.7747,0.6245,0.8447,0.75,0.625,0.9547,0.9551,0.0194,0.0074,0.0166,-0.0028,0.0091
2020,<= 2019,<= 2017,2018-2019,profile,3.5,325,209,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.831,0.5939,0.855,0.4688,0.3906,0.8892,0.9174,0.8284,0.5862,0.8478,0.4062,0.3906,0.8743,0.9079,-0.0111,-0.0117,-0.0189,-0.0078,-0.0072
2021,<= 2020,<= 2018,2019-2020,profile,3.5,403,199,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.812,0.6038,0.8162,0.5625,0.4219,0.9254,0.9174,0.8144,0.6105,0.808,0.5938,0.4219,0.9222,0.9248,0.0181,0.0123,0.0247,0.0067,0.0125
